Row_ID,Sex,SatisfiedofSpaceAllocated,SatisfiedofHygieneAndSanitation,"Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?",How satisfied are you with the quality of healthcare you and your family are receiving in the camp?,How satisfied are you with the level of psychological support you and your family are receiving in the camp?,How satisfied are you with the level of social support you and your family receive from neighbours and friends?,Do you think you are able to exercise your religion freely in the camp?,"How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?",Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?,Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?,Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?,How satisfied are you with the quality of education you and your family are receiving in the camp?,How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?,How satisfied are you with the income your family makes in the camp?,How satisfied are you with the overall help you and your family have been receiving from NGOs?,How do you mostly hear about the news?,Who do you consider the most important person in your camp?,"Other than family, who do you go to when you have a problem?",Do you have enough good friends in the camp?,Do you consider any Bangladeshis as your friends?,Do you believe Rohingya and Bangladeshis can be good friends?,Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?,Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?,How much do you trust the police/military/guards of camps in Bangladesh?,How much do you trust the NGOs in the camp?,How much do you trust the Majhis?,How much do you trust the Imam (religious leader)?,How often do you talk with Rohingya people outside Bangladesh and Myanmar?,In what countries are they now?,How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?,Do you often feel stressed or overwhelmed by your situation?,Do you prefer talking about your problems with others or trying to forget what you are going through?,Do you prefer solving your problems alone or by asking others for their help?,Does talking about your every day problems with others make you feel better?,How comfortable do you feel talking about your problems with NGO workers?,Do you think the situation in the camp is better now or 6 months ago?,Do you smoke cigarettes?,How many cigarettes a day on average?,Did you also smoke before coming to Bangladesh?,Do you chew betel nuts?,How many betel nuts a day on average?,Did you also chew before coming to Bangladesh?,Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?,Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?,Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?,How often do you hear people talking about violent groups in the camp?,How do you think violence in the camp has changed over time?,Do you think that sexual harassment in the camp happens often?,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,"If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?",Do you think that repatriation to Myanmar will happen in the next two years?,Do you personally know any Rohingya who left Bangladesh in the last six months?,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?,EnoughHealthcareFacilities
12055,Male,Very unsatisfied,Satisfied,,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",Block Mahji,Head Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,TRUE,25,FALSE,TRUE,15,Yes,No,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Turkey,positive,TRUE
12058,Male,Satisfied,Satisfied,,Unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,Yes,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Australia, USA","Australia, USA",negative,TRUE
12059,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Very satisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,TRUE,5,TRUE,TRUE,4,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",USA,USA,negative,TRUE
12060,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12061,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12062,Male,Satisfied,Satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp","Australia, Canada, USA","Australia, Canada, USA",negative,TRUE
12063,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,6,TRUE,TRUE,3,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12064,Male,Satisfied,Satisfied,,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Canada, USA","Canada, USA",negative,TRUE
12065,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,FALSE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,FALSE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,6,Yes,No,,No,,No,A few times a year,Same,Yes,In the streets,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",USA,USA,negative,TRUE
12066,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,FALSE,Very comfortable,now,FALSE,,,TRUE,5,No,No,,No,,No,Never,Decreased,No,,I don't have children - does not apply,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp","Canada, USA","Canada, USA",negative,TRUE
12068,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,TRUE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,not scared,"Here, in the camp","Australia, USA","Australia, Turkey",negative,TRUE
12069,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp","Saudi Arabia, USA",Saudi Arabia,negative,TRUE
12070,Male,Satisfied,Satisfied,,Very unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Newspaper or magazines,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Once a month,,Never,TRUE,talking,I ask for help,FALSE,Comfortable enough,same-nothing has changed,TRUE,6,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp","Australia, Turkey","Australia, Saudi Arabia, Turkey",negative,TRUE
12071,Male,Satisfied,Satisfied,,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,FALSE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,now,TRUE,4,TRUE,FALSE,,,No,,No,,No,A few times a year,Same,No,,Very afraid,FALSE,,Not at all,Yes,Yes,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12072,Male,Unsatisfied,Satisfied,,Very unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,neither positive nor negative,TRUE
12073,Male,Unsatisfied,Satisfied,,Very unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,TRUE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12074,Male,Satisfied,Very satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12075,Male,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,TRUE,10,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Malaysia,"Malaysia, Saudi Arabia",negative,TRUE
12076,Male,Satisfied,Satisfied,,Satisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,FALSE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,Depends on what the government will decide,Malaysia,Malaysia,negative,TRUE
12077,Male,Satisfied,Very satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,now,TRUE,10,TRUE,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Australia, Canada","Australia, Canada",negative,TRUE
12078,Male,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Australia, Malaysia","Australia, Saudi Arabia",negative,TRUE
12079,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp","Australia, Saudi Arabia",Saudi Arabia,neither positive nor negative,TRUE
12080,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,negative,TRUE
12081,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp","Australia, Canada","Canada, Turkey",negative,TRUE
12082,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,Never,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp","Canada, USA","Canada, Saudi Arabia",negative,TRUE
12083,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,Never,Decreased,No,,Afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12084,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,FALSE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,Yes,In the streets,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12085,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,negative,TRUE
12086,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,negative,TRUE
12087,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,negative,TRUE
12088,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,FALSE,,,No,,No,,No,Never,Decreased,No,,Afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Saudi Arabia, Turkey","Saudi Arabia, Turkey",negative,TRUE
12092,Male,Unsatisfied,Satisfied,,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Head Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,15,Yes,No,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,USA,positive,TRUE
12093,Male,Unsatisfied,Satisfied,,Unsatisfied,Very unsatisfied,Very unsatisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",Block Mahji,Head Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,10,Yes,No,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Turkey,positive,TRUE
12094,Male,Unsatisfied,Satisfied,,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",Block Mahji,Head Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,TRUE,10,FALSE,TRUE,15,Yes,No,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,Myanmar/Motherland,I don't want to go anywhere else.,Australia,positive,TRUE
12095,Male,Unsatisfied,Satisfied,,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Head Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,TRUE,8,TRUE,TRUE,20,Yes,No,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Canada,USA,positive,TRUE
